year,state,district,office,county_name,county_fips,jurisdiction,precinct,dem_candidate,rep_candidate,lib_candidate,dem_votes,rep_votes,lib_votes,other_votes,total_votes,dem_share,rep_share,lib_share,two_party_dem_share,rep_margin,rep_margin_share,winner_party,county_registered_voters,county_voters_voting,county_turnout_pct_reported,county_turnout_rate,county_election_day_votes,county_absentee_votes,county_absentee_share_reported,county_absentee_share,county_source,districts_in_county,county_split_in_year
2024,Indiana,9,US House,Jackson,18071,Jackson,BROWNSTOWN TOWNSHIP WEST,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",77,329,14,0,420,0.183333,0.783333,0.033333,0.189655,252,0.62069,Republican,26143,18867,0.72,0.721685,7954,10913,0.58,0.578417,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Jackson,18071,Jackson,CARR,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",93,477,15,0,585,0.158974,0.815385,0.025641,0.163158,384,0.673684,Republican,26143,18867,0.72,0.721685,7954,10913,0.58,0.578417,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Jackson,18071,Jackson,DRIFTWOOD,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",74,423,16,0,513,0.14425,0.824561,0.031189,0.148893,349,0.702213,Republican,26143,18867,0.72,0.721685,7954,10913,0.58,0.578417,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Jackson,18071,Jackson,GRASSY FORK,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",35,313,5,0,353,0.09915,0.886686,0.014164,0.100575,278,0.798851,Republican,26143,18867,0.72,0.721685,7954,10913,0.58,0.578417,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Jackson,18071,Jackson,HAMILTON,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",173,730,28,0,931,0.185822,0.784103,0.030075,0.191584,557,0.616833,Republican,26143,18867,0.72,0.721685,7954,10913,0.58,0.578417,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Jackson,18071,Jackson,JACKSON 1 EAST,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",155,504,23,0,682,0.227273,0.739003,0.033724,0.235205,349,0.52959,Republican,26143,18867,0.72,0.721685,7954,10913,0.58,0.578417,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Jackson,18071,Jackson,JACKSON 2 EAST,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",129,329,10,0,468,0.275641,0.702991,0.021368,0.281659,200,0.436681,Republican,26143,18867,0.72,0.721685,7954,10913,0.58,0.578417,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Jackson,18071,Jackson,JACKSON 2 WEST,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",61,150,6,0,217,0.281106,0.691244,0.02765,0.2891,89,0.421801,Republican,26143,18867,0.72,0.721685,7954,10913,0.58,0.578417,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Jackson,18071,Jackson,JACKSON 3 NORTH,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",102,304,15,0,421,0.24228,0.72209,0.035629,0.251232,202,0.497537,Republican,26143,18867,0.72,0.721685,7954,10913,0.58,0.578417,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Jackson,18071,Jackson,JACKSON 3 SOUTH,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",163,477,18,0,658,0.24772,0.724924,0.027356,0.254688,314,0.490625,Republican,26143,18867,0.72,0.721685,7954,10913,0.58,0.578417,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Jackson,18071,Jackson,JACKSON 4 NORTH,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",243,779,14,0,1036,0.234556,0.751931,0.013514,0.237769,536,0.524462,Republican,26143,18867,0.72,0.721685,7954,10913,0.58,0.578417,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Jackson,18071,Jackson,JACKSON 4 SOUTH,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",114,466,15,0,595,0.191597,0.783193,0.02521,0.196552,352,0.606897,Republican,26143,18867,0.72,0.721685,7954,10913,0.58,0.578417,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Jackson,18071,Jackson,JACKSON 5 EAST,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",212,503,24,0,739,0.286874,0.68065,0.032476,0.296503,291,0.406993,Republican,26143,18867,0.72,0.721685,7954,10913,0.58,0.578417,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Jackson,18071,Jackson,JACKSON 5 NORTH,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",257,688,23,0,968,0.265496,0.710744,0.02376,0.271958,431,0.456085,Republican,26143,18867,0.72,0.721685,7954,10913,0.58,0.578417,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
2024,Indiana,9,US House,Jackson,18071,Jackson,JACKSON 6,"Timothy ""Tim"" Peck",Erin Houchin,"Russell ""Russ"" Brooksbank",143,513,16,0,672,0.212798,0.763393,0.02381,0.217988,370,0.564024,Republican,26143,18867,0.72,0.721685,7954,10913,0.58,0.578417,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,9,no
